acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adwaita-icon-theme 3.36.1-1
alacritty 0.4.3-1
alsa-lib 1.2.3-1
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-1
anydesk-bin 5.5.6-4
aom 2.0.0-1
archlinux-keyring 20200603-1
argon2 20190702-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
base 2-2
bash 5.0.017-1
bat 0.15.4-1
binutils 2.34-5
bison 3.6.3-1
bluez-libs 5.54-2
brave-bin 1:1.9.80-1
bridge-utils 1.6-4
brotli 1.0.7-3
bullshit 0.0-3
bzip2 1.0.8-3
c-ares 1.16.1-1
ca-certificates 20181109-3
ca-certificates-mozilla 3.53-1
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cairomm 1.12.2-4
cantarell-fonts 1:0.201-1
cifs-utils 6.10-1
colord 1.4.4+9+g1ce26da-2
containerd 1.3.4-2
coreutils 8.32-1
cowfortune 0.1.2-6
cowsay 3.04-2
cracklib 2.9.7-2
cryptsetup 2.3.3-1
curl 7.70.0-1
dav1d 0.7.0-1
db 5.3.28-5
dbus 1.12.18-1
dconf 0.36.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-3
diffutils 3.7-3
discord 0.0.10-3
djvulibre 3.5.27-6
dmenu 4.9-1
dnssec-anchors 20190629-2
docker 1:19.03.11-1
docker-compose 1.26.0-1
dosfstools 4.1-3
double-conversion 3.1.5-2
dunst 1.4.1-1
e2fsprogs 1.45.6-2
efibootmgr 17-1
efivar 37-4
elfutils 0.179-1
exa 0.9.0-1
expat 2.2.9-3
fakeroot 1.24-2
fd 8.1.1-1
ffmpeg 2:4.2.3-1
fftw 3.3.8-3
file 5.38-3
filesystem 2020.05.20-1
findutils 4.7.0-2
flac 1.3.3-2
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-2
fortune-mod 2.12.0-1
freetype2 2.10.2-1
fribidi 1.0.9-1
fzf 0.21.1-2
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-2
gcc-libs 10.1.0-2
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gettext 0.20.2-1
ghc 8.10.1-2
ghc-libs 8.10.1-2
ghostscript 9.52-1
giflib 5.2.1-2
girara 0.3.4-2
git 2.27.0-1
glib-networking 2.64.3-2
glib2 2.64.3-2
glibc 2.31-5
glibmm 2.64.2-1
glslang 8.13.3743-1
glu 9.0.1-2
gmp 6.2.0-1
gnome-themes-extra 3.28-2
gnu-free-fonts 20120503-8
gnupg 2.2.20-4
gnutls 3.6.14-1
go 2:1.14.4-1
gotop-bin 4.0.0-1
gpgme 1.13.1-7
gpm 1.20.7.r27.g1fd1941-2
graphite 1:1.3.14-1
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
gsettings-desktop-schemas 3.36.1-1
gsm 1.0.19-1
gtk-update-icon-cache 1:3.24.20-1
gtk2 2.24.32-2
gtk3 1:3.24.20-1
gtkglext 1.2.0-12
gtkmm3 3.24.2-2
guile 2.2.6-2
gzip 1.10-3
harfbuzz 2.6.7-1
haskell-adjunctions 4.4-141
haskell-aeson 1.5.2.0-1
haskell-alsa-core 0.5.0.1-10
haskell-alsa-mixer 0.3.0-40
haskell-asn1-encoding 0.9.6-29
haskell-asn1-parse 0.9.5-29
haskell-asn1-types 0.3.4-8
haskell-assoc 1.0.1-2
haskell-async 2.2.2-10
haskell-attoparsec 0.13.2.4-6
haskell-base-compat 0.11.1-7
haskell-base-compat-batteries 0.11.1-28
haskell-base-orphans 0.8.2-31
haskell-basement 0.0.11-6
haskell-bifunctors 5.5.7-16
haskell-blaze-builder 0.4.1.0-12
haskell-blaze-html 0.9.1.2-27
haskell-blaze-markup 0.8.2.5-5
haskell-byteable 0.1.1-18
haskell-call-stack 0.2.0-36
haskell-case-insensitive 1.2.1.0-10
haskell-cereal 0.5.8.1-5
haskell-comonad 5.0.6-24
haskell-conduit 1.3.2-16
haskell-conduit-extra 1.3.5-19
haskell-connection 0.3.1-34
haskell-contravariant 1.5.2-6
haskell-cookie 0.4.5-5
haskell-cryptonite 0.26-40
haskell-data-default 0.7.1.1-57
haskell-data-default-class 0.1.2.0-17
haskell-data-default-instances-containers 0.0.1-29
haskell-data-default-instances-dlist 0.0.1-70
haskell-data-default-instances-old-locale 0.0.1-29
haskell-dbus 1.2.15.1-12
haskell-distributive 0.6.2-5
haskell-dlist 0.8.0.8-5
haskell-extensible-exceptions 0.1.1.4-29
haskell-free 5.1.3-35
haskell-hashable 1.3.0.0-6
haskell-hinotify 0.4-16
haskell-hourglass 0.2.12-53
haskell-http 4000.3.14-209
haskell-http-client 0.7.0-14
haskell-http-client-tls 0.3.5.3-248
haskell-http-conduit 2.3.7.3-141
haskell-http-types 0.12.3-58
haskell-integer-logarithms 1.0.3-6
